+-----+--------------------------------------+---------+-------------------------------------------------------------+----------------------------------+-----------+------------+------------+---------------+----------------+------------------+
| id  | guid                                 | code    | name                                                        | shortName                        | serviceId | categoryId | reportCode | debitTranCode | creditTranCode | accountNumber    |
|  12 | 9fd25cb8-9f2b-4c19-b568-3e4a76be606c | G0336   | AGILITY LOGISTICS HOLDING INC.                              | AgilityHoldingInc                | 7488      |       NULL | 07488      | NULL          | NULL           | 001720002920     |
|  13 | 54c3c6ff-8c53-4873-a20c-d309011b718c | G0336   | AGILITY SOLUTIONS INC.                                      | AgilitySolInc                    | 7489      |       NULL | 07489      | NULL          | NULL           | 001720002906     |
|  14 | 825fcfed-ac6a-4929-a182-eb897081e704 | G0003   | ALABANG COUNTRY CLUB INC(ACCI)                              | AlabangClub                      | 7142      |       NULL | 07142      | NULL          | NULL           | 001270006670     |
|  15 | 3e541f3f-cfa9-4bfb-ba4f-5c47d1190761 | G0520   | AMALGAMATED INVESTMENT BANCORPORATION                       | AIBANCORP                        | 7681      |       NULL | 07681      | NULL          | NULL           | 008030002459     |
|  16 | 5bc77c4c-eae6-45a1-ae85-445eb1c732b3 | G0106   | AMERICAN CHAMBER OF COMMERCE OF THE PHIL                    | AmericanChamberInc               | 7554      |       NULL | 07554      | NULL          | NULL           | 000010066287     |
|  17 | 62cfd7a1-10e3-455b-96cf-8aa30385e461 | G0258   | ANGELICA DL MOJICA CORPORATION                              | ALMCorp                          | 7378      |       NULL | 07378      | NULL          | NULL           | 002600004495     |
|  18 | c34f1a6e-70e3-4688-a3bc-0dba3d4283a9 | G0228   | ASSUMPTION ANTIPOLO INC                                     | ASSAI                            | 7311      |       NULL | 07311      | NULL          | NULL           | 102060025071     |
|  19 | 34a05fd2-1b6d-44fe-8721-b144274d490e | G0298   | ASSUMPTION ILOILO INC                                       | assumpiloiloinc                  | 7404      |       NULL | 07404      | NULL          | NULL           | 002770006533     |
|  20 | 499e0814-f866-48b9-bbe2-701b3d4a9251 | G0219   | ATENEO DE DAVAO UNIVERSITY                                  | AdmuDavao                        | 7391      |       NULL | 07391      | NULL          | NULL           | 001410003362     |
|  21 | 1d835679-6514-487a-86a5-9738bda5a13c | G0177   | ATENEO DE MANILA UNIVERSITY                                 | admu                             | 7377      |       NULL | 07377      | NULL          | NULL           | 000370011790     |
|  22 | b2c75167-1a43-4743-a5ee-c1e2d28779f6 | G0592   | AUTOMOBILE ASSOCIATION OF THE PHILIPPINES INC               | AUTOMOBILE                       | 7749      |       NULL | 07749      | NULL          | NULL           | 000480015442     |
|  23 | 5856df01-a0b3-4671-83b8-0cedd54ad32b | G0203   | BALAMBAN ENERZONE CORPORATION                               | BalambanEnerzoneCorp             | 7522      |       NULL | 07522      | NULL          | NULL           | 000260025707     |
|  24 | c00f63cc-3902-4012-962c-b1f18dce0242 | G0093   | BANKARD CHINA UNION PAY                                     | Bankardcup                       | 7343      |       NULL | 07343      | NULL          | NULL           | 000590029502     |
|  25 | 55d87ed9-3da1-4832-9ec1-8f05ca1558a1 | G0139   | BAYAN TELECOMMUNICATIONS                                    | BAYANTEL                         | 7081      |       NULL | 07081      | NULL          | NULL           | 000710003961     |
|  26 | b3cc27a4-041f-493c-b6b8-42c47fdbe1be | G0533   | BELLAGIO 3 CONDOMINIUM ASSOCIATION INC.                     | BELLAGIO3                        | 7690      |       NULL | 07690      | NULL          | NULL           | 001560004591     |
|  27 | 570b9bd2-5f2a-41ae-b89f-b131662b938f | G0357   | BENEFICIAL LIFE - PNB INSURANCE COMPANY                     | benelife                         | 7306      |       NULL | 07306      | NULL          | NULL           | 044100000022     |
|  28 | 7b3c4b42-7e01-4f41-af77-3399515e83f4 | G0260   | BENGUET ELECTRIC COOPERATIVE INC                            | bengelec                         | 7372      |       NULL | 07372      | NULL          | NULL           | 100640040267     |
|  29 | 8596d64c-50e7-4351-a851-b66cc2bc9d0d | G0512   | BLUE SAPPHIRE RESIDENCES CONDOMINIUM CORPORATION            | BSRCCORP                         | 7674      |       NULL | 07674      | NULL          | NULL           | 001560001255     |
|  30 | 4915ed45-efc3-4e16-b829-ffec01b42244 | G0497   | BONIFACIO ESTATE SERVICES CORPORATION                       | BESCORP                          | 7663      |       NULL | 07663      | NULL          | NULL           | 001560003021     |
|  31 | 25821493-a01d-4cd1-a05a-3618409e4b0c | G0496   | BONIFACIO GLOBAL CITY ESTATE ASSOCIATION INC                | BGCEAINC                         | 7662      |       NULL | 07662      | NULL          | NULL           | 001560003010     |
|  32 | NULL                                 | G9004   | BUREAU OF CUSTOMS                                           | BOC                              | 7221      |       NULL | 07221      | NULL          | NULL           | 1905322505001344 |
|  33 | NULL                                 | G0093   | Bankard JCB                                                 | Bankardjcb                       | 0217      |       NULL | 00217      | NULL          | NULL           | 000590029502     |
|  34 | NULL                                 | G0093   | Bankard Mastercard                                          | BankardMC                        | 0216      |       NULL | 00216      | NULL          | NULL           | 000590029502     |
|  35 | NULL                                 | G0093   | Bankard One                                                 | BankardOne                       | 0218      |       NULL | 00218      | NULL          | NULL           | 000590029502     |
|  36 | NULL                                 | G0093   | Bankard Visa                                                | BankardVisa                      | 0215      |       NULL | 00215      | NULL          | NULL           | 000590029502     |
|  37 | 57ce79d2-5515-4eb0-ace7-72314e3c7cab | G0425   | CABLE LINK AND HOLDINGS CORPORATION                         | CASES                            | 7581      |       NULL | 07581      | NULL          | NULL           | 001880000274     |
|  38 | 721173bf-2654-4547-a7f9-f246b88b33c3 | G0456   | CABLE LINK INTERNET SERVICES INC.                           | CABLELINK                        | 7582      |       NULL | 07582      | NULL          | NULL           | 000280016438     |
|  39 | b8578324-b98c-480f-a7c0-308668f6ef14 | G0308   | CALIFORNIA GARDEN SQUARE CONDO ASSOC INC                    | CALGARDENASSOCINC                | 7472      |       NULL | 07472      | NULL          | NULL           | 001500003673     |
|  40 | NULL                                 | G0523   | CASINO ESPANOL DE CEBU INC                                  | CASINO                           | 7684      |       NULL | 07684      | NULL          | NULL           | 002760001095     |
|  41 | a8bfb4ef-4872-40bf-b3db-e3cbefcb92dd | G0269   | CHARTER PING AN INSURANCE CORPORATION                       | CharPingAnCorp                   | 7452      |       NULL | 07452      | NULL          | NULL           | 002470001372     |
|  42 | 4a1a07f1-616a-4331-ad2e-804fdb055198 | G0182   | CHINA TRUST SALARY STRETCH                                  | CTSS                             | 7227      |       NULL | 07227      | NULL          | NULL           | 000590011730     |
|  43 | 3cfabbd1-622e-47ac-bf0a-38a6fd5adbec | G0437   | CIGNAL TV                                                   | CignalTV                         | 7498      |       NULL | 07498      | NULL          | NULL           | 101540002180     |
|  44 | b571e952-098d-41f5-a2b6-0efbdd86bdb4 | G0470   | CIIT COLLEGE OF ARTS AND TECHNOLOGY INC.                    | CIIT                             | 7631      |       NULL | 07631      | NULL          | NULL           | 002570007815     |
|  45 | 7dcf2700-52af-4770-a157-83722b3b50a0 | G0473   | CIS BAYAD CENTER INC                                        | CISBCINC                         | 7633      |       NULL | 07633      | NULL          | NULL           | 100590240527     |
|  46 | 5870c6c0-6741-4c95-bc7e-6a24839bd1c4 | G0098   | CITIBANK MASTERCARD                                         | CITIBANKMC                       | 0204      |       NULL | 00204      | NULL          | NULL           | 000880001550     |
|  47 | 43be2f0e-70c4-4f2a-9d38-301b386d5be6 | G0098   | CITIBANK READYCREDIT                                        | CITIBANKRC                       | 0205      |       NULL | 00205      | NULL          | NULL           | 000880001550     |
|  48 | 01bf9c1d-225c-4bf0-91a7-7709a1424650 | G0098   | CITIBANK VISA                                               | CITIBANKVISA                     | 0203      |       NULL | 00203      | NULL          | NULL           | 000880001550     |
|  49 | 94d53691-8a97-4d60-8288-3d2cb98ac2e4 | G0174   | CLARET SCHOOL OF QUEZON CITY                                | ClaretSchQC                      | 7296      |       NULL | 07296      | NULL          | NULL           | 100750029394     |
|  50 | aea2039d-831e-43f7-85ac-08ece3e73069 | G0089   | COCA COLA ARSS                                              | COKEARSS                         | 7351      |       NULL | 07351      | NULL          | NULL           | 100300072744     |
|  51 | 96a6ffba-4a86-4da3-86ed-5b54cf0b5963 | G0089   | COCA-COLA-MINDANAO                                          | cokemd                           | 7355      |       NULL | 07355      | NULL          | NULL           | 100300072781     |
|  52 | 057e8fe7-a520-467d-a6d2-fd45d5ea0508 | G0266   | COCA-COLA-NATIONAL                                          | CocaColaNatl                     | 7385      |       NULL | 07385      | NULL          | NULL           | 002080005620     |
|  53 | a30ed799-73a0-4066-a01e-9b007fe47068 | G0089   | COCA-COLA-NORTH LUZON                                       | cokenl                           | 7352      |       NULL | 07352      | NULL          | NULL           | 100300072756     |
|  54 | 7e7a036a-1ab3-4a61-8db4-065909600a6c | G0089   | COCA-COLA-SOUTH LUZON                                       | cokesl                           | 7353      |       NULL | 07353      | NULL          | NULL           | 100300072768     |
|  55 | c6fdbe83-a8ba-4509-9bde-39bfd30a60a4 | G0089   | COCA-COLA-VISAYAS                                           | cokevis                          | 7354      |       NULL | 07354      | NULL          | NULL           | 100300072770     |
|  56 | aea2039d-831e-43f7-85ac-08ece3e73069 | G0089   | COKE ARSS                                                   | CokeARSS                         | 7351      |       NULL | 07351      | NULL          | NULL           | 100300072744     |
|  57 | 369f5a8e-b87a-4845-b092-3f13ebf039d5 | G0521   | COL FINANCIAL                                               | CFGINC                           | 7682      |       NULL | 07682      | NULL          | NULL           | 000590066158     |
|  58 | 875a662a-0782-49e6-8bd7-5f3ee5cd6fbf | G0535   | COLEGIO DE STA. ANA INC.                                    | COLEGIODE                        | 7688      |       NULL | 07688      | NULL          | NULL           | 001930000574     |
|  59 | 61322404-c5d5-43c9-bfc7-d94c8d17f471 | G0154   | COLLEGE ASSURANCE PLANS PHILS.                              | CAP                              | 7039      |       NULL | 07039      | NULL          | NULL           | 001250001770     |
|  60 | 0a4da96d-74e4-4923-bb9a-fc1fe460e459 | G0247   | COOPERATIVE INSURANCE SYSTEM OF THE PHIL                    | cisp                             | 7368      |       NULL | 07368      | NULL          | NULL           | 000400014683     |
|  61 | fb7c1d50-cb9a-4d1d-b053-62bdec442cda | G0480   | COTABATO LIGHT AND POWER COMPANY                            | CLPCO                            | 7643      |       NULL | 07643      | NULL          | NULL           | 000260001788     |
|  62 | 271f84ba-618c-427d-8720-9c891ecec08d | G0516   | CRESCENT PARK RESIDENCES CONDOMINIUM CORPORATION            | CPRCCORP                         | 7677      |       NULL | 07677      | NULL          | NULL           | 001560004610     |
|  63 | NULL                                 | G0346   | Clark Water Corporation                                     | clarkwatercorp                   | 7525      |       NULL | 07525      | NULL          | NULL           | 001810000583     |
|  64 | 4aa0f728-4553-482c-b8a7-33e03411610c | G0160   | DAVAO LIGHT AND POWER COMPANY INC.                          | DavaoLightPowerInc               | 7396      |       NULL | 07396      | NULL          | NULL           | 000650002179     |
|  65 | ab68b5e3-60ee-470c-9b3e-c3eae536995f | G0418   | DEUTSCHE RE IATA (CARGO AGENTS) PHP                         | DeutscheCargoPHP                 | 7584      |       NULL | 07584      | NULL          | NULL           | 000590068520     |
|  66 | 7fd27303-2d19-44e4-8aaf-5f87cb66274d | G0415   | DEUTSCHE RE IATA (TRAVEL AGENTS) PHP                        | DeutscheTravelPHP                | 7585      |       NULL | 07585      | NULL          | NULL           | 000590068519     |
|  67 | 68f7bc85-5d68-4dd4-bfd1-4d65a8a0a9cc | G0017   | DIGITAL TELECOMMUNICATIONS                                  | DIGITEL                          | 9065      |       NULL | 09065      | NULL          | NULL           | 000880008120     |
|  68 | 1a2d36b9-cb8a-45f8-b44d-651a3e07e62f | G0347   | DLSU DASMARINAS                                             | DLSUDasma                        | 7526      |       NULL | 07526      | NULL          | NULL           | 002710001580     |
|  69 | bedc517d-84b0-4565-9c04-6c06a1e9b253 | G0467   | DRAGONPAY CORPORATION                                       | DRAGONPAY                        | 7629      |       NULL | 07629      | NULL          | NULL           | 002110003929     |
|  70 | 8087897d-6154-4918-8eb3-9c82593875b8 | G0519   | DUMAGUETE LEARNING CENTER (KUMON DUMAGUETE)                 | DLC                              | 7679      |       NULL | 07679      | NULL          | NULL           | 001450000967     |
|  71 | 08552746-ce35-4fd6-86a3-49e386660707 | G0099   | EAGLE CEMENT CORPORATION                                    | eagleCement                      | 7408      |       NULL | 07408      | NULL          | NULL           | 000350015030     |
|  72 | NULL                                 | G0239   | EASTERN TELECOMMUNICATIONS PHILS INC                        | EasternTel                       | 7448      |       NULL | 07448      | NULL          | NULL           | 102130003083     |
|  73 | 22fa7457-e3dd-4491-8a2a-c59ad59298c6 | G0087   | EASYCALL                                                    | EASYCALL                         | 9008      |       NULL | 09008      | NULL          | NULL           | 000722001990     |
|  74 | 11a39dff-3f90-4b41-9fec-339cb0e9b045 | G0254   | ELARZLECHON CORPORATION                                     | ElarzCorp                        | 7389      |       NULL | 07389      | NULL          | NULL           | 001610001324     |
|  75 | a1ff9028-1928-4e6f-a1f2-444f3030689c | G0338   | EVERGREEN SHIPPING AGENCY PHILS                             | EverShipping                     | 7495      |       NULL | 07495      | NULL          | NULL           | 000010120300     |
|  76 | f5397433-c678-4eca-8336-131e94543160 | G0194   | FERN                                                        | Fern                             | 7302      |       NULL | 07302      | NULL          | NULL           | 000590025170     |
|  77 | 49ba6ad1-9608-4eb8-8d83-39986c3686b4 | G0023   | FIRST LEPANTO TAISHO INS.                                   | FLTI                             | 7047      |       NULL | 07047      | NULL          | NULL           | 000010064930     |
|  78 | 4adacfad-a0bb-49bf-b955-e16c0b15a5b1 | G0024   | FIRST UNION PLANS                                           | FUPS                             | 7085      |       NULL | 07085      | NULL          | NULL           | 000010070801     |
|  79 | f96b41f2-6449-4858-aab9-51cb3bab7623 | G-0654  | FORBESWOOD PARKLANE CONDOMINIUM ASSOCIATION INC.            | FORBESWOOD                       | 7731      |       NULL | 07731      | NULL          | NULL           | 001560004736     |
|  80 | NULL                                 | G0141   | GADC-Corporate                                              | GADCORP                          | 7605      |       NULL | 07605      | NULL          | NULL           | 102510030886     |
|  81 | NULL                                 | G0141   | GADC-Product Deliveries                                     | GADCORP                          | 7606      |       NULL | 07606      | NULL          | NULL           | 102510030898     |
|  82 | e328496b-6c32-4943-a12e-3e0c6ffa202a | G0317   | GAMETIME SPORTS TECHNOLOGIES INC.                           | GametimeSportsInc                | 7531      |       NULL | 07531      | NULL          | NULL           | 000910028862     |
|  83 | 09450cd8-55a8-4dfe-aab1-cec75ab33436 | G0518   | GEMMA CRUZ LEARNING CENTER (KUMON ATC)                      | GGC                              | 7678      |       NULL | 07678      | NULL          | NULL           | 001330002365     |
|  84 | 6a3f97a8-bb83-479d-906c-705e457e84f0 | G0026   | Globe Handyphone                                            | GLOBEGLHDY                       | 9055      |       NULL | 09055      | NULL          | NULL           | 000010055940     |
|  85 | 59fcacac-f0d5-4942-885a-dd1637b7251c | G0589   | HEAVENLY PEACE MEMORIAL GARDEN INC                          | HEAVENLY                         | 7746      |       NULL | 07746      | NULL          | NULL           | 000470011622     |
|  86 | 5a9b2f20-c28f-4c93-9430-ab970b7aa7c9 | G0502   | HORIZON TRAVEL & TOURS INC - PHP                            | HORIZONTR                        | 7667      |       NULL | 07667      | NULL          | NULL           | 000310034176     |
|  87 | NULL                                 | G0560   | HOTEL JEN                                                   | NEWRIVIER                        | 7716      |       NULL | 07716      | NULL          | NULL           | 002450004951     |
|  88 | NULL                                 | G0178   | HSBC MASTERCARD                                             | HSBCMC                           | 0220      |       NULL | 00220      | NULL          | NULL           | 000590010219     |
|  89 | NULL                                 | G0178   | HSBC PERSONAL LOANS                                         | HSBCPL                           | 0223      |       NULL | 00223      | NULL          | NULL           | 000590010300     |
|  90 | NULL                                 | G0178   | HSBC VISA                                                   | HSBCVISA                         | 0221      |       NULL | 00221      | NULL          | NULL           | 000590010219     |
|  91 | df24f17e-9ada-44e4-b581-b124731bf4a0 | G0498   | ICCT COLLEGES FOUNDATION INC                                | ICCT                             | 7664      |       NULL | 07664      | NULL          | NULL           | 002570008261     |
|  92 | 33cd2c12-0098-46f4-8f16-74d8bb9d53d8 | G0251   | ICTSI                                                       | ictsi                            | 7350      |       NULL | 07350      | NULL          | NULL           | 001570000510     |
|  93 | be65368f-aa2a-428d-b293-7273599c7ed6 | G0152   | ILIGAN LIGHT AND POWER INCORPORATED                         | ILPI                             | 7680      |       NULL | 07680      | NULL          | NULL           | 001190014637     |
|  94 | dfb06421-5f64-4c07-8816-09235b6dec76 | G0051   | INFOCOM COMM. NETWORK-NEXTEL                                | NEXTEL                           | 7034      |       NULL | 07034      | NULL          | NULL           | 000910010020     |
|  95 | 24854310-5b7e-4dd3-9467-d3775bd23116 | G0029   | INNOVE - GLOBE QUEST                                        | GLOBEGNET                        | 9067      |       NULL | 09067      | NULL          | NULL           | 000670004110     |
|  96 | d6de7e55-8dca-42b8-b6f2-d97fd0d1a7ac | G0029   | INNOVE - GLOBELINES                                         | GLOBEGLINE                       | 9066      |       NULL | 09066      | NULL          | NULL           | 000670004110     |
|  97 | df4dcd36-91d7-4e66-a2a7-b9de6f94efcc | G0029   | INNOVE COMMUNICATIONS                                       | INNOVE                           | 7055      |       NULL | 07055      | NULL          | NULL           | 000670004110     |
|  98 | NULL                                 | G0591   | INSTITUTE OF CORPORATE DIRECTORS INC                        | INSTFORC                         | 7748      |       NULL | 07748      | NULL          | NULL           | 001240005328     |
|  99 | 453f45cc-d99c-4a86-9c22-ad1ce18392d0 | G0102   | INSULAR LIFE ASSURANCE CO.                                  | INSULAR                          | 7070      |       NULL | 07070      | NULL          | NULL           | 000010021474     |
| 100 | 9e566e56-9a3f-44a4-9d89-76c74154346f | G0033   | INTEGRATED BAR OF THE PHILS.                                | IBP                              | 7028      |       NULL | 07028      | NULL          | NULL           | 100911025691     |
| 101 | 5b0a2e18-7cf9-41f4-88ea-74d515d14322 | G0035   | INTER.NET PHILS. INC.                                       | INTER.NET                        | 7111      |       NULL | 07111      | NULL          | NULL           | 000400008774     |
| 102 | 951df15a-2ffe-43b8-9b92-7183fef0dfbe | G0036   | JARDINE ABOITIZ INS BROKER INC                              | JARDINE                          | 7041      |       NULL | 07041      | NULL          | NULL           | 100720079267     |
| 103 | c615f2d2-46b0-4f43-96c9-a419b86e3114 | G0505   | JOHN B LACSON FOUNDATION MARITIME UNIVERSITY (AREVALO) INC. | JOHNBLAC                         | 7670      |       NULL | 07670      | NULL          | NULL           | 000180021643     |
| 104 | 2bc5595c-b2e9-4263-a7d7-e912094815b5 | G0479   | JOSE RIZAL UNIVERSITY INC                                   | JRUINC                           | 7642      |       NULL | 07642      | NULL          | NULL           | 001850000600     |
| 105 | e21b8e30-3cac-42d8-a055-a2d1b5de0eb9 | G0038   | KALAKBAYAN/LAKBAY.NET                                       | LKBY                             | 7032      |       NULL | 07032      | NULL          | NULL           | 000910009880     |
| 106 | 2ffeccbb-84e2-4b08-a783-1e7b3b036a83 | G0478   | KUMON Philippines Inc.                                      | KUMONPHIL                        | 7641      |       NULL | 07641      | NULL          | NULL           | 000010121353     |
| 107 | NULL                                 | G0326   | LAGUNA AAAWATER CORPORATION                                 | LAGUNAAAA                        | 7511      |       NULL | 07511      | NULL          | NULL           | 002740005186     |
| 108 | 68380ad9-1d09-48cb-996c-b0e519eed724 | G0207   | LETRAN CALAMBA                                              | LetranCalamba                    | 7552      |       NULL | 07552      | NULL          | NULL           | 101070073230     |
| 109 | 53cffd94-3104-4a5a-a582-ba16df50864e | G0101   | LOYOLA LIFE PLANS                                           | LOYOLA                           | 7030      |       NULL | 07030      | NULL          | NULL           | 000010063845     |
| 110 | 4d4d6c93-b4be-411a-b575-c7bd88ebf731 | G0458   | LX CORPORATION                                              | LXCORP                           | 7623      |       NULL | 07623      | NULL          | NULL           | 000590072274     |
| 111 | 889773db-758c-4df1-bf9e-b9bf3d72f16e | G0205   | MACTAN ENERZONE CORPORATION                                 | MactanEnerzoneCorp               | 7521      |       NULL | 07521      | NULL          | NULL           | 000450006517     |
| 112 | b7b577c4-1dfa-4f2d-abb2-b591c0e78356 | G0424   | MAERSK LINE-PHP                                             | MaerskLinePHP                    | 7595      |       NULL | 07595      | NULL          | NULL           | 000590071907     |
| 113 | 83f30b17-b570-45d2-8114-bf5b3c58dc69 | G0092   | MAKATI SHANGRI-LA                                           | shangmakati                      | 7319      |       NULL | 07319      | NULL          | NULL           | 000560016050     |
| 114 | NULL                                 | G0621   | MANILA BIBLE SEMINARY                                       | MANILABIB                        | 7781      |       NULL | 07781      | NULL          | NULL           | 000810013605     |
| 115 | 0be306a6-bad5-4ad3-bad3-af405c79e970 | G0202   | MANILA POLO CLUB INC.                                       | ManilaPolo                       | 7295      |       NULL | 07295      | NULL          | NULL           | 000590023366     |
| 116 | 9d925736-11ac-450c-b807-6aede91b317b | G0241   | MANILA WATER COMPANY INC                                    | manilawater                      | 7332      |       NULL | 07332      | NULL          | NULL           | 000590040601     |
| 117 | e122df62-5b08-430d-81ac-344eacd8e71d | G0449   | MANULIFE FINANCIAL PLANS                                    | ManulifePlans                    | 7616      |       NULL | 07616      | NULL          | NULL           | 001790000650     |
| 118 | bbc1ea05-cb28-44d0-ac9a-64165ce510ae | G0449   | MANULIFE PHILIPPINES                                        | Manulife                         | 7621      |       NULL | 07621      | NULL          | NULL           | 001790000650     |
| 119 | fbea3ba2-1216-44bb-a812-bbc96bdbc0ed | G0180   | MAPFRE INSULAR INSURANCE CORP                               | MapfreInsularCorp                | 7224      |       NULL | 07224      | NULL          | NULL           | 000590011315     |
| 120 | 6b25fa22-c451-40bc-9d2d-2ab9a1ba29fd | G0417   | MAXICARE HEALTHCARE CORPORATION                             | MaxicareCorp                     | 7555      |       NULL | 07555      | NULL          | NULL           | 000870021643     |
| 121 | e3b2b757-7092-444e-a482-63ed7af04bf4 | G0043   | MAYNILAD WATER SERVICES INC                                 | Maynilad                         | 7077      |       NULL | 07077      | NULL          | NULL           | 000090009642     |
| 122 | NULL                                 | G0423   | MCC DOMESTIC                                                | MCCDOMESTIC                      | 7593      |       NULL | 07593      | NULL          | NULL           | 000590072195     |
| 123 | ed9dd959-8252-48e4-9454-b854f63dd9e7 | G0424   | MCC INTRA ASIA-PHP                                          | MccTransportPhp                  | 7594      |       NULL | 07594      | NULL          | NULL           | 000590071920     |
| 124 | 34020c8f-d35d-4406-b7b0-c9281ab9bf20 | G0590   | MCKINLEY WEST VILLAGE HOMEOWNERS ASSOCIATION INC            | MWVHAI                           | 7747      |       NULL | 07747      | NULL          | NULL           | 001490003888     |
| 125 | 0ad1bc58-0534-4d30-9035-732ed6c22d27 | G0041   | MERALCO                                                     | MERALCO                          | 9002      |       NULL | 09002      | NULL          | NULL           | 000590002855     |
| 126 | ee090888-f383-456f-bdce-926923492ae9 | G0046   | METROGAS SALES INC                                          | MetrogasSales                    | 7394      |       NULL | 07394      | NULL          | NULL           | 000070019228     |
| 127 | d08b7b34-4ca7-43d3-9320-6dde9129ed06 | G0462   | MPOWER                                                      | MPOWER                           | 7626      |       NULL | 07626      | NULL          | NULL           | 000590066006     |
| 128 | 7ee49ec3-75db-4402-b553-d00c7035885b | G0049   | NEW SAN JOSE BUILDERS INC.                                  | SanJoseBuildersInc               | 7541      |       NULL | 07541      | NULL          | NULL           | 000400023726     |
| 129 | 011c3426-b169-4aeb-b3ef-1b53cbb20896 | G0674   | PAGASA PHILIPPINES LENDING COMPANY INC                      | PAGASA                           | 7845      |       NULL | 07845      | NULL          | NULL           | 002540005543     |
| 130 | NULL                                 | G0546   | PALM TREE 2 AT NEW PORT CITY CONDOMINIUM ASSOCIATION INC    | PALMTREE                         | 7702      |       NULL | 07702      | NULL          | NULL           | 001240032010     |
| 131 | NULL                                 | G0541   | PALM TREE VILLAS CONDOMINIUM ASSOCIATION INC                | PARKTREEVILL                     | 7697      |       NULL | 07697      | NULL          | NULL           | 001240034330     |
| 132 | 3b413392-3d33-44ec-83f3-1ff3ed0d37cc | G0277   | PAMBANSANG LECHON CORPORATION                               | PamLechonCorp                    | 7400      |       NULL | 07400      | NULL          | NULL           | 001610001348     |
| 133 | NULL                                 | NULL    | PAPA SECURITIES CORPORATION                                 | PSCORP                           | 7810      |       NULL | 07810      | NULL          | NULL           | 000870028030     |
| 134 | b73e3668-e603-4f4c-8821-a7b2774cde45 | G0264   | PARADIGM GLOBAL GROWTH FUND INC.- PHP                       | GlobalGrowthPHP                  | 7381      |       NULL | 07381      | NULL          | NULL           | 001540001365     |
| 135 | a5fd043a-bb5e-457b-83a7-2ab7788998c3 | G0256   | PARADIGM GLOBAL INVESTMENT MANAGEMENT IN                    | ParagGlobalMngtPHP               | 7382      |       NULL | 07382      | NULL          | NULL           | 001540001171     |
| 136 | be455a86-66c6-4eac-9b07-1cbefa73dba3 | G0149   | PARAMOUNT LIFE AND GEN.INS.COR                              | PARAMOUNT                        | 7116      |       NULL | 07116      | NULL          | NULL           | 000010078848     |
| 137 | 3500b477-a2c4-40a3-a98c-f0c9c01e0c7b | G0413   | PAYMAYA                                                     | Paymaya                          | 7578      |       NULL | 07578      | NULL          | NULL           | 100722201520     |
| 138 | b3d1335f-ca39-4741-978c-ecedbade0785 | G0125   | PELCO 1                                                     | PELCO1                           | 7369      |       NULL | 07369      | NULL          | NULL           | 000230006139     |
